,YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
0,195201,01,-1.4009661835748792,-5.8773424190800645,January,4.476376235505185
1,195202,02,-4.0,-6.99048210221395,February,2.9904821022139503
2,195203,03,-10.106837606837606,-3.8412698412698436,March,-6.265567765567763
3,195204,04,4.226190476190476,2.4278752436647184,April,1.7983152325257579
4,195205,05,7.037037037037038,9.522613065326631,May,-2.485576028289593
5,195206,06,13.611111111111112,14.711897738446416,June,-1.100786627335303
6,195207,07,16.23015873015873,16.498881431767344,July,-0.26872270160861333
7,195208,08,14.157706093189965,15.022075055187633,August,-0.864368961997668
8,195209,09,8.461538461538462,9.910919540229894,September,-1.4493810786914327
9,195210,10,2.162698412698413,4.947222222222226,October,-2.7845238095238134
10,195211,11,-2.3809523809523805,0.3235124205661469,November,-2.7044648015185273
11,195212,12,-2.911111111111111,-4.1680440771349865,December,1.2569329660238755
12,195301,01,-5.3968253968253945,-5.8773424190800645,January,0.48051702225466997
13,195302,02,-8.662551440329217,-6.99048210221395,February,-1.672069338115267
14,195303,03,-0.48309178743961356,-3.8412698412698436,March,3.35817805383023
15,195304,04,4.423868312757201,2.4278752436647184,April,1.9959930690924828
16,195305,05,9.265232974910395,9.522613065326631,May,-0.2573800904162358
17,195306,06,17.037037037037038,14.711897738446416,June,2.3251392985906225
18,195307,07,17.066666666666666,16.498881431767344,July,0.567785234899322
19,195308,08,15.114942528735629,15.022075055187633,August,0.09286747354799552
20,195309,09,9.650205761316872,9.910919540229894,September,-0.26071377891302205
21,195310,10,7.222222222222222,4.947222222222226,October,2.274999999999996
22,195311,11,1.408730158730158,0.3235124205661469,November,1.0852177381640111
23,195312,12,-1.2903225806451608,-4.1680440771349865,December,2.8777214964898254
24,195401,01,-7.072649572649572,-5.8773424190800645,January,-1.195307153569508
25,195402,02,-11.527777777777779,-6.99048210221395,February,-4.537295675563828
26,195403,03,-1.2698412698412693,-3.8412698412698436,March,2.5714285714285743
27,195404,04,1.412037037037037,2.4278752436647184,April,-1.0158382066276814
28,195405,05,11.455938697318008,9.522613065326631,May,1.9333256319913765
29,195406,06,13.910256410256412,14.711897738446416,June,-0.8016413281900032
30,195407,07,16.924603174603178,16.498881431767344,July,0.4257217428358331
31,195408,08,15.15325670498084,15.022075055187633,August,0.13118164979320746
32,195409,09,11.303418803418804,9.910919540229894,September,1.3924992631889097
33,195410,10,5.151515151515151,4.947222222222226,October,0.20429292929292497
34,195411,11,0.06666666666666675,0.3235124205661469,November,-0.2568457538994801
35,195412,12,-0.07936507936507921,-4.1680440771349865,December,4.088678997769907
36,195501,01,-5.473251028806584,-5.8773424190800645,January,0.4040913902734804
37,195502,02,-8.26388888888889,-6.99048210221395,February,-1.273406786674939
38,195503,03,-5.74074074074074,-3.8412698412698436,March,-1.899470899470896
39,195504,04,-1.0386473429951695,2.4278752436647184,April,-3.466522586659888
40,195505,05,6.091954022988506,9.522613065326631,May,-3.4306590423381254
41,195506,06,12.457264957264956,14.711897738446416,June,-2.25463278118146
42,195507,07,17.93333333333333,16.498881431767344,July,1.4344519015659856
43,195508,08,17.921810699588473,15.022075055187633,August,2.89973564440084
44,195509,09,13.078703703703708,9.910919540229894,September,3.1677841634738133
45,195510,10,5.864197530864196,4.947222222222226,October,0.9169753086419696
46,195511,11,-1.1342592592592593,0.3235124205661469,November,-1.4577716798254061
47,195512,12,-11.091269841269838,-4.1680440771349865,December,-6.923225764134852
48,195601,01,-8.133333333333333,-5.8773424190800645,January,-2.2559909142532684
49,195602,02,-14.550264550264549,-6.99048210221395,February,-7.559782448050599
50,195603,03,-4.386973180076629,-3.8412698412698436,March,-0.5457033388067858
51,195604,04,-0.3769841269841266,2.4278752436647184,April,-2.804859370648845
52,195605,05,8.648148148148149,9.522613065326631,May,-0.8744649171784822
53,195606,06,15.724637681159422,14.711897738446416,June,1.0127399427130062
54,195607,07,15.416666666666668,16.498881431767344,July,-1.0822147651006766
55,195608,08,12.638888888888891,15.022075055187633,August,-2.383186166298742
56,195609,09,8.452380952380953,9.910919540229894,September,-1.4585385878489419
57,195610,10,4.46236559139785,4.947222222222226,October,-0.48485663082437647
58,195611,11,-4.5652173913043494,0.3235124205661469,November,-4.888729811870497
59,195612,12,-2.452107279693487,-4.1680440771349865,December,1.7159367974414996
60,195701,01,-2.4404761904761902,-5.8773424190800645,January,3.4368662286038743
61,195702,02,-3.518518518518518,-6.99048210221395,February,3.471963583695432
62,195703,03,-7.2888888888888905,-3.8412698412698436,March,-3.447619047619047
63,195704,04,1.6388888888888893,2.4278752436647184,April,-0.7889863547758291
64,195705,05,8.27485380116959,9.522613065326631,May,-1.2477592641570414
65,195706,06,12.40740740740741,14.711897738446416,June,-2.3044903310390055
66,195707,07,17.833333333333336,16.498881431767344,July,1.3344519015659912
67,195708,08,15.358422939068104,15.022075055187633,August,0.336347883880471
68,195709,09,9.370370370370368,9.910919540229894,September,-0.540549169859526
69,195710,10,5.651340996168584,4.947222222222226,October,0.7041187739463579
70,195711,11,0.8237547892720308,0.3235124205661469,November,0.5002423687058839
71,195712,12,-2.0250896057347667,-4.1680440771349865,December,2.1429544714002198
72,195801,01,-8.315412186379932,-5.8773424190800645,January,-2.4380697672998677
73,195802,02,-9.464285714285714,-6.99048210221395,February,-2.4738036120717632
74,195803,03,-7.580645161290322,-3.8412698412698436,March,-3.7393753200204785
75,195804,04,1.0185185185185186,2.4278752436647184,April,-1.4093567251461998
76,195805,05,8.225806451612904,9.522613065326631,May,-1.296806613713727
77,195806,06,13.38888888888889,14.711897738446416,June,-1.3230088495575263
