,YM,monthNumber_x,TAVG_Celsius_x,avgTempC,month_x,Diff ,monthNumber_y,TAVG_Celsius_y,avgTempsC,month_y,Diff,Diff_SodHel
0,195901,01,,-14.64543937708563,January,,01,-5.148148148148147,-5.8773424190800645,January,0.7291942709319175,
1,195902,02,,-14.055386178861797,February,,02,-2.3611111111111107,-6.99048210221395,February,4.62937099110284,
2,195903,03,,-9.51064093046276,March,,03,0.3225806451612903,-3.8412698412698436,March,4.163850486431134,
3,195904,04,,-3.0916347381864555,April,,04,3.8703703703703707,2.4278752436647184,April,1.4424951267056523,
4,195905,05,5.259856630824372,3.8651835643082935,May,1.394673066516079,05,9.695340501792113,9.522613065326631,May,0.1727274364654825,-4.435483870967741
5,195906,06,11.157407407407407,10.437808641975305,June,0.7195987654321012,06,15.074074074074076,14.711897738446416,June,0.3621763356276606,-3.9166666666666696
6,195907,07,12.749999999999998,13.529077759846993,July,-0.7790777598469951,07,17.831541218637994,16.498881431767344,July,1.33265978687065,-5.081541218637996
7,195908,08,11.4247311827957,10.999253285543611,August,0.4254778972520885,08,16.965811965811966,15.022075055187633,August,1.9437369106243327,-5.541080783016266
8,195909,09,3.796296296296296,5.786566227244194,September,-1.990269930947898,09,8.812260536398467,9.910919540229894,September,-1.0986590038314272,-5.015964240102171
9,195910,10,-2.0161290322580645,-0.898639207824554,October,-1.1174898244335105,10,4.767025089605736,4.947222222222226,October,-0.18019713261649084,-6.7831541218638005
10,195911,11,-7.101851851851851,-7.547237915882001,November,0.44538606403015013,11,1.4074074074074074,0.3235124205661469,November,1.0838949868412606,-8.50925925925926
11,195912,12,-13.225806451612904,-12.200504222100733,December,-1.025302229512171,12,-5.148148148148147,-4.1680440771349865,December,-0.9801040710131605,-8.077658303464757
12,196001,01,-19.12186379928315,-14.64543937708563,January,-4.476424422197521,01,-10.229885057471266,-5.8773424190800645,January,-4.352542638391202,-8.891978741811885
13,196002,02,-18.429118773946357,-14.055386178861797,February,-4.37373259508456,02,-8.927203065134101,-6.99048210221395,February,-1.936720962920151,-9.501915708812255
14,196003,03,-7.177419354838711,-9.51064093046276,March,2.333221575624049,03,-4.5878136200716835,-3.8412698412698436,March,-0.7465437788018399,-2.5896057347670274
15,196004,04,-1.277777777777778,-3.0916347381864555,April,1.8138569604086776,04,1.8518518518518519,2.4278752436647184,April,-0.5760233918128665,-3.1296296296296298
16,196005,05,7.383512544802867,3.8651835643082935,May,3.518328980494574,05,10.981481481481483,9.522613065326631,May,1.4588684161548517,-3.5979689366786154
17,196006,06,11.185185185185187,10.437808641975305,June,0.7473765432098816,06,16.27777777777778,14.711897738446416,June,1.565880039331363,-5.092592592592592
18,196007,07,16.962365591397848,13.529077759846993,July,3.433287831550855,07,18.06513409961686,16.498881431767344,July,1.5662526678495148,-1.102768508219011
19,196008,08,11.998207885304659,10.999253285543611,August,0.9989545997610474,08,15.10752688172043,15.022075055187633,August,0.08545182653279682,-3.1093189964157713
20,196009,09,5.888888888888888,5.786566227244194,September,0.10232266164469461,09,10.111111111111112,9.910919540229894,September,0.20019157088121808,-4.222222222222224
21,196010,10,-6.505376344086021,-0.898639207824554,October,-5.606737136261467,10,3.2795698924731185,4.947222222222226,October,-1.667652329749108,-9.78494623655914
22,196011,11,-10.268518518518517,-7.547237915882001,November,-2.721280602636516,11,-0.6851851851851853,0.3235124205661469,November,-1.0086976057513322,-9.583333333333332
23,196012,12,-11.86379928315412,-12.200504222100733,December,0.33670493894661213,12,-0.3225806451612904,-4.1680440771349865,December,3.845463431973696,-11.54121863799283
24,196101,01,-11.18279569892473,-14.64543937708563,January,3.4626436781609,01,-3.648148148148148,-5.8773424190800645,January,2.2291942709319166,-7.534647550776582
25,196102,02,-12.688492063492065,-14.055386178861797,February,1.3668941153697318,02,-0.3571428571428569,-6.99048210221395,February,6.6333392450710935,-12.331349206349207
26,196103,03,-8.306451612903226,-9.51064093046276,March,1.2041893175595337,03,0.35842293906810035,-3.8412698412698436,March,4.199692780337944,-8.664874551971327
27,196104,04,-6.601851851851851,-3.0916347381864555,April,-3.5102171136653957,04,2.629629629629629,2.4278752436647184,April,0.20175438596491047,-9.231481481481481
28,196105,05,2.768817204301075,3.8651835643082935,May,-1.0963663600072184,05,9.89247311827957,9.522613065326631,May,0.369860052952939,-7.123655913978495
29,196106,06,13.481481481481483,10.437808641975305,June,3.0436728395061774,06,16.999999999999996,14.711897738446416,June,2.288102261553581,-3.5185185185185137
30,196107,07,14.775985663082437,13.529077759846993,July,1.246907903235444,07,15.86021505376344,16.498881431767344,July,-0.6386663780039044,-1.0842293906810028
31,196108,08,10.752688172043007,10.999253285543611,August,-0.24656511350060484,08,14.175627240143372,15.022075055187633,August,-0.8464478150442609,-3.4229390681003657
32,196109,09,6.046296296296297,5.786566227244194,September,0.25973006905210294,09,9.722222222222223,9.910919540229894,September,-0.1886973180076712,-3.6759259259259265
33,196110,10,4.9551971326164885,-0.898639207824554,October,5.853836340441043,10,8.655913978494622,4.947222222222226,October,3.708691756272396,-3.7007168458781337
34,196111,11,-4.018518518518518,-7.547237915882001,November,3.528719397363483,11,1.7222222222222225,0.3235124205661469,November,1.3987098016560757,-5.7407407407407405
35,196112,12,-14.946236559139788,-12.200504222100733,December,-2.7457323370390547,12,-5.0716845878136185,-4.1680440771349865,December,-0.903640510678632,-9.87455197132617
36,196201,01,-15.421146953405017,-14.64543937708563,January,-0.7757075763193875,01,-3.655913978494623,-5.8773424190800645,January,2.2214284405854414,-11.765232974910393
37,196202,02,-12.748015873015872,-14.055386178861797,February,1.3073703058459252,02,-5.198412698412699,-6.99048210221395,February,1.7920694038012517,-7.549603174603173
38,196203,03,-18.664874551971327,-9.51064093046276,March,-9.154233621508567,03,-7.4910394265232965,-3.8412698412698436,March,-3.649769585253453,-11.17383512544803
39,196204,04,-1.2037037037037035,-3.0916347381864555,April,1.887931034482752,04,3.777777777777778,2.4278752436647184,April,1.3499025341130597,-4.981481481481482
40,196205,05,3.0734767025089607,3.8651835643082935,May,-0.7917068617993328,05,8.584229390681005,9.522613065326631,May,-0.9383836746456264,-5.510752688172044
