YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
195201,01,-1.4009661835748792,-5.8773424190800645,January,4.476376235505185
195202,02,-4.0,-6.99048210221395,February,2.9904821022139503
195203,03,-10.106837606837606,-3.8412698412698436,March,-6.265567765567763
195204,04,4.226190476190476,2.4278752436647184,April,1.7983152325257579
195205,05,7.037037037037038,9.522613065326631,May,-2.485576028289593
195206,06,13.611111111111112,14.711897738446416,June,-1.100786627335303
195207,07,16.23015873015873,16.498881431767344,July,-0.26872270160861333
195208,08,14.157706093189965,15.022075055187633,August,-0.864368961997668
195209,09,8.461538461538462,9.910919540229894,September,-1.4493810786914327
195210,10,2.162698412698413,4.947222222222226,October,-2.7845238095238134
195211,11,-2.3809523809523805,0.3235124205661469,November,-2.7044648015185273
195212,12,-2.911111111111111,-4.1680440771349865,December,1.2569329660238755
195301,01,-5.3968253968253945,-5.8773424190800645,January,0.48051702225466997
195302,02,-8.662551440329217,-6.99048210221395,February,-1.672069338115267
195303,03,-0.48309178743961356,-3.8412698412698436,March,3.35817805383023
195304,04,4.423868312757201,2.4278752436647184,April,1.9959930690924828
195305,05,9.265232974910395,9.522613065326631,May,-0.2573800904162358
195306,06,17.037037037037038,14.711897738446416,June,2.3251392985906225
195307,07,17.066666666666666,16.498881431767344,July,0.567785234899322
195308,08,15.114942528735629,15.022075055187633,August,0.09286747354799552
195309,09,9.650205761316872,9.910919540229894,September,-0.26071377891302205
195310,10,7.222222222222222,4.947222222222226,October,2.274999999999996
195311,11,1.408730158730158,0.3235124205661469,November,1.0852177381640111
195312,12,-1.2903225806451608,-4.1680440771349865,December,2.8777214964898254
195401,01,-7.072649572649572,-5.8773424190800645,January,-1.195307153569508
195402,02,-11.527777777777779,-6.99048210221395,February,-4.537295675563828
195403,03,-1.2698412698412693,-3.8412698412698436,March,2.5714285714285743
195404,04,1.412037037037037,2.4278752436647184,April,-1.0158382066276814
195405,05,11.455938697318008,9.522613065326631,May,1.9333256319913765
195406,06,13.910256410256412,14.711897738446416,June,-0.8016413281900032
195407,07,16.924603174603178,16.498881431767344,July,0.4257217428358331
195408,08,15.15325670498084,15.022075055187633,August,0.13118164979320746
195409,09,11.303418803418804,9.910919540229894,September,1.3924992631889097
195410,10,5.151515151515151,4.947222222222226,October,0.20429292929292497
195411,11,0.06666666666666675,0.3235124205661469,November,-0.2568457538994801
195412,12,-0.07936507936507921,-4.1680440771349865,December,4.088678997769907
195501,01,-5.473251028806584,-5.8773424190800645,January,0.4040913902734804
195502,02,-8.26388888888889,-6.99048210221395,February,-1.273406786674939
195503,03,-5.74074074074074,-3.8412698412698436,March,-1.899470899470896
195504,04,-1.0386473429951695,2.4278752436647184,April,-3.466522586659888
195505,05,6.091954022988506,9.522613065326631,May,-3.4306590423381254
195506,06,12.457264957264956,14.711897738446416,June,-2.25463278118146
195507,07,17.93333333333333,16.498881431767344,July,1.4344519015659856
195508,08,17.921810699588473,15.022075055187633,August,2.89973564440084
195509,09,13.078703703703708,9.910919540229894,September,3.1677841634738133
195510,10,5.864197530864196,4.947222222222226,October,0.9169753086419696
195511,11,-1.1342592592592593,0.3235124205661469,November,-1.4577716798254061
195512,12,-11.091269841269838,-4.1680440771349865,December,-6.923225764134852
195601,01,-8.133333333333333,-5.8773424190800645,January,-2.2559909142532684
195602,02,-14.550264550264549,-6.99048210221395,February,-7.559782448050599
195603,03,-4.386973180076629,-3.8412698412698436,March,-0.5457033388067858
195604,04,-0.3769841269841266,2.4278752436647184,April,-2.804859370648845
195605,05,8.648148148148149,9.522613065326631,May,-0.8744649171784822
195606,06,15.724637681159422,14.711897738446416,June,1.0127399427130062
195607,07,15.416666666666668,16.498881431767344,July,-1.0822147651006766
195608,08,12.638888888888891,15.022075055187633,August,-2.383186166298742
195609,09,8.452380952380953,9.910919540229894,September,-1.4585385878489419
195610,10,4.46236559139785,4.947222222222226,October,-0.48485663082437647
195611,11,-4.5652173913043494,0.3235124205661469,November,-4.888729811870497
195612,12,-2.452107279693487,-4.1680440771349865,December,1.7159367974414996
195701,01,-2.4404761904761902,-5.8773424190800645,January,3.4368662286038743
195702,02,-3.518518518518518,-6.99048210221395,February,3.471963583695432
195703,03,-7.2888888888888905,-3.8412698412698436,March,-3.447619047619047
195704,04,1.6388888888888893,2.4278752436647184,April,-0.7889863547758291
195705,05,8.27485380116959,9.522613065326631,May,-1.2477592641570414
195706,06,12.40740740740741,14.711897738446416,June,-2.3044903310390055
195707,07,17.833333333333336,16.498881431767344,July,1.3344519015659912
195708,08,15.358422939068104,15.022075055187633,August,0.336347883880471
195709,09,9.370370370370368,9.910919540229894,September,-0.540549169859526
195710,10,5.651340996168584,4.947222222222226,October,0.7041187739463579
195711,11,0.8237547892720308,0.3235124205661469,November,0.5002423687058839
195712,12,-2.0250896057347667,-4.1680440771349865,December,2.1429544714002198
195801,01,-8.315412186379932,-5.8773424190800645,January,-2.4380697672998677
195802,02,-9.464285714285714,-6.99048210221395,February,-2.4738036120717632
195803,03,-7.580645161290322,-3.8412698412698436,March,-3.7393753200204785
195804,04,1.0185185185185186,2.4278752436647184,April,-1.4093567251461998
195805,05,8.225806451612904,9.522613065326631,May,-1.296806613713727
195806,06,13.38888888888889,14.711897738446416,June,-1.3230088495575263
195807,07,15.340501792114695,16.498881431767344,July,-1.1583796396526491
195808,08,14.516129032258066,15.022075055187633,August,-0.5059460229295674
195809,09,10.407407407407408,9.910919540229894,September,0.4964878671775139
195810,10,6.111111111111113,4.947222222222226,October,1.163888888888887
195811,11,3.1851851851851847,0.3235124205661469,November,2.861672764619038
195812,12,-6.61290322580645,-4.1680440771349865,December,-2.4448591486714637
195901,01,-5.148148148148147,-5.8773424190800645,January,0.7291942709319175
195902,02,-2.3611111111111107,-6.99048210221395,February,4.62937099110284
195903,03,0.3225806451612903,-3.8412698412698436,March,4.163850486431134
195904,04,3.8703703703703707,2.4278752436647184,April,1.4424951267056523
195905,05,9.695340501792113,9.522613065326631,May,0.1727274364654825
195906,06,15.074074074074076,14.711897738446416,June,0.3621763356276606
195907,07,17.831541218637994,16.498881431767344,July,1.33265978687065
195908,08,16.965811965811966,15.022075055187633,August,1.9437369106243327
195909,09,8.812260536398467,9.910919540229894,September,-1.0986590038314272
195910,10,4.767025089605736,4.947222222222226,October,-0.18019713261649084
195911,11,1.4074074074074074,0.3235124205661469,November,1.0838949868412606
195912,12,-5.148148148148147,-4.1680440771349865,December,-0.9801040710131605
196001,01,-10.229885057471266,-5.8773424190800645,January,-4.352542638391202
196002,02,-8.927203065134101,-6.99048210221395,February,-1.936720962920151
196003,03,-4.5878136200716835,-3.8412698412698436,March,-0.7465437788018399
196004,04,1.8518518518518519,2.4278752436647184,April,-0.5760233918128665
196005,05,10.981481481481483,9.522613065326631,May,1.4588684161548517
196006,06,16.27777777777778,14.711897738446416,June,1.565880039331363
196007,07,18.06513409961686,16.498881431767344,July,1.5662526678495148
196008,08,15.10752688172043,15.022075055187633,August,0.08545182653279682
196009,09,10.111111111111112,9.910919540229894,September,0.20019157088121808
196010,10,3.2795698924731185,4.947222222222226,October,-1.667652329749108
196011,11,-0.6851851851851853,0.3235124205661469,November,-1.0086976057513322
196012,12,-0.3225806451612904,-4.1680440771349865,December,3.845463431973696
196101,01,-3.648148148148148,-5.8773424190800645,January,2.2291942709319166
196102,02,-0.3571428571428569,-6.99048210221395,February,6.6333392450710935
196103,03,0.35842293906810035,-3.8412698412698436,March,4.199692780337944
196104,04,2.629629629629629,2.4278752436647184,April,0.20175438596491047
196105,05,9.89247311827957,9.522613065326631,May,0.369860052952939
196106,06,16.999999999999996,14.711897738446416,June,2.288102261553581
196107,07,15.86021505376344,16.498881431767344,July,-0.6386663780039044
196108,08,14.175627240143372,15.022075055187633,August,-0.8464478150442609
196109,09,9.722222222222223,9.910919540229894,September,-0.1886973180076712
196110,10,8.655913978494622,4.947222222222226,October,3.708691756272396
196111,11,1.7222222222222225,0.3235124205661469,November,1.3987098016560757
196112,12,-5.0716845878136185,-4.1680440771349865,December,-0.903640510678632
196201,01,-3.655913978494623,-5.8773424190800645,January,2.2214284405854414
196202,02,-5.198412698412699,-6.99048210221395,February,1.7920694038012517
196203,03,-7.4910394265232965,-3.8412698412698436,March,-3.649769585253453
196204,04,3.777777777777778,2.4278752436647184,April,1.3499025341130597
196205,05,8.584229390681005,9.522613065326631,May,-0.9383836746456264
196206,06,12.037037037037035,14.711897738446416,June,-2.674860701409381
196207,07,14.623655913978496,16.498881431767344,July,-1.8752255177888486
196208,08,13.028673835125447,15.022075055187633,August,-1.9934012200621858
196209,09,9.370370370370372,9.910919540229894,September,-0.5405491698595224
196210,10,6.792114695340501,4.947222222222226,October,1.844892473118275
196211,11,1.5,0.3235124205661469,November,1.1764875794338532
196212,12,-6.810035842293907,-4.1680440771349865,December,-2.64199176515892
196301,01,-9.892473118279572,-5.8773424190800645,January,-4.015130699199507
196302,02,-10.833333333333332,-6.99048210221395,February,-3.842851231119382
196303,03,-8.727598566308245,-3.8412698412698436,March,-4.8863287250384015
196304,04,2.814814814814815,2.4278752436647184,April,0.3869395711500965
196305,05,13.207885304659497,9.522613065326631,May,3.685272239332866
196306,06,14.82758620689655,14.711897738446416,June,0.11568846845013425
196307,07,16.881720430107528,16.498881431767344,July,0.3828389983401834
196308,08,16.344086021505376,15.022075055187633,August,1.3220109663177428
196309,09,12.629629629629632,9.910919540229894,September,2.718710089399737
196310,10,6.021505376344087,4.947222222222226,October,1.0742831541218605
196311,11,-0.18518518518518506,0.3235124205661469,November,-0.5086976057513319
196312,12,-4.139784946236561,-4.1680440771349865,December,0.02825913089842569
196401,01,,-5.8773424190800645,January,
196402,02,,-6.99048210221395,February,
196403,03,,-3.8412698412698436,March,
196404,04,,2.4278752436647184,April,
196405,05,,9.522613065326631,May,
196406,06,,14.711897738446416,June,
196407,07,,16.498881431767344,July,
196408,08,,15.022075055187633,August,
196409,09,,9.910919540229894,September,
196410,10,,4.947222222222226,October,
196411,11,,0.3235124205661469,November,
196412,12,,-4.1680440771349865,December,
196501,01,,-5.8773424190800645,January,
196502,02,,-6.99048210221395,February,
196503,03,,-3.8412698412698436,March,
196504,04,,2.4278752436647184,April,
196505,05,,9.522613065326631,May,
196506,06,,14.711897738446416,June,
196507,07,,16.498881431767344,July,
196508,08,,15.022075055187633,August,
196509,09,,9.910919540229894,September,
196510,10,,4.947222222222226,October,
196511,11,,0.3235124205661469,November,
196512,12,,-4.1680440771349865,December,
196601,01,,-5.8773424190800645,January,
196602,02,,-6.99048210221395,February,
196603,03,,-3.8412698412698436,March,
196604,04,,2.4278752436647184,April,
196605,05,,9.522613065326631,May,
196606,06,,14.711897738446416,June,
196607,07,,16.498881431767344,July,
196608,08,,15.022075055187633,August,
196609,09,,9.910919540229894,September,
196610,10,,4.947222222222226,October,
196611,11,,0.3235124205661469,November,
196612,12,,-4.1680440771349865,December,
196701,01,,-5.8773424190800645,January,
196702,02,,-6.99048210221395,February,
196703,03,,-3.8412698412698436,March,
196704,04,,2.4278752436647184,April,
196705,05,,9.522613065326631,May,
196706,06,,14.711897738446416,June,
196707,07,,16.498881431767344,July,
196708,08,,15.022075055187633,August,
196709,09,,9.910919540229894,September,
196710,10,,4.947222222222226,October,
196711,11,,0.3235124205661469,November,
196712,12,,-4.1680440771349865,December,
196801,01,,-5.8773424190800645,January,
196802,02,,-6.99048210221395,February,
196803,03,,-3.8412698412698436,March,
196804,04,,2.4278752436647184,April,
196805,05,,9.522613065326631,May,
196806,06,,14.711897738446416,June,
196807,07,,16.498881431767344,July,
196808,08,,15.022075055187633,August,
196809,09,,9.910919540229894,September,
196810,10,,4.947222222222226,October,
196811,11,,0.3235124205661469,November,
196812,12,,-4.1680440771349865,December,
196901,01,,-5.8773424190800645,January,
196902,02,,-6.99048210221395,February,
196903,03,,-3.8412698412698436,March,
196904,04,,2.4278752436647184,April,
196905,05,,9.522613065326631,May,
196906,06,,14.711897738446416,June,
196907,07,,16.498881431767344,July,
196908,08,,15.022075055187633,August,
196909,09,,9.910919540229894,September,
196910,10,,4.947222222222226,October,
196911,11,,0.3235124205661469,November,
196912,12,,-4.1680440771349865,December,
197001,01,,-5.8773424190800645,January,
197002,02,,-6.99048210221395,February,
197003,03,,-3.8412698412698436,March,
197004,04,,2.4278752436647184,April,
197005,05,,9.522613065326631,May,
197006,06,,14.711897738446416,June,
197007,07,,16.498881431767344,July,
197008,08,,15.022075055187633,August,
197009,09,,9.910919540229894,September,
197010,10,,4.947222222222226,October,
197011,11,,0.3235124205661469,November,
197012,12,,-4.1680440771349865,December,
197101,01,,-5.8773424190800645,January,
197102,02,,-6.99048210221395,February,
197103,03,,-3.8412698412698436,March,
197104,04,,2.4278752436647184,April,
197105,05,,9.522613065326631,May,
197106,06,,14.711897738446416,June,
197107,07,,16.498881431767344,July,
197108,08,,15.022075055187633,August,
197109,09,,9.910919540229894,September,
197110,10,,4.947222222222226,October,
197111,11,,0.3235124205661469,November,
197112,12,,-4.1680440771349865,December,
197201,01,,-5.8773424190800645,January,
197202,02,,-6.99048210221395,February,
197203,03,,-3.8412698412698436,March,
197204,04,,2.4278752436647184,April,
197205,05,,9.522613065326631,May,
197206,06,,14.711897738446416,June,
197207,07,,16.498881431767344,July,
197208,08,,15.022075055187633,August,
197209,09,,9.910919540229894,September,
197210,10,,4.947222222222226,October,
197211,11,,0.3235124205661469,November,
197212,12,,-4.1680440771349865,December,
197301,01,-1.9713261648745524,-5.8773424190800645,January,3.906016254205512
197302,02,-4.583333333333333,-6.99048210221395,February,2.4071487688806172
197303,03,-1.2186379928315407,-3.8412698412698436,March,2.622631848438303
197304,04,2.666666666666667,2.4278752436647184,April,0.23879142300194856
197305,05,10.161290322580648,9.522613065326631,May,0.6386772572540167
197306,06,16.74074074074074,14.711897738446416,June,2.028843002294325
197307,07,19.731182795698928,16.498881431767344,July,3.232301363931583
197308,08,14.910394265232977,15.022075055187633,August,-0.11168078995465613
197309,09,6.907407407407407,9.910919540229894,September,-3.003512132822487
197310,10,2.2401433691756267,4.947222222222226,October,-2.7070788530465997
197311,11,-3.037037037037037,0.3235124205661469,November,-3.360549457603184
197312,12,-6.559139784946238,-4.1680440771349865,December,-2.3910957078112514
197401,01,-2.921146953405018,-5.8773424190800645,January,2.9561954656750467
197402,02,-0.5158730158730158,-6.99048210221395,February,6.4746090863409345
197403,03,-1.1648745519713257,-3.8412698412698436,March,2.676395289298518
197404,04,2.6666666666666665,2.4278752436647184,April,0.2387914230019481
197405,05,7.132616487455197,9.522613065326631,May,-2.3899965778714343
197406,06,14.351851851851851,14.711897738446416,June,-0.3600458865945644
197407,07,15.698924731182796,16.498881431767344,July,-0.7999567005845485
197408,08,14.677419354838708,15.022075055187633,August,-0.344655700348925
197409,09,12.222222222222221,9.910919540229894,September,2.311302681992327
197410,10,5.681003584229392,4.947222222222226,October,0.7337813620071651
197411,11,2.2037037037037033,0.3235124205661469,November,1.8801912831375565
197412,12,0.7347670250896065,-4.1680440771349865,December,4.902811102224593
197501,01,-1.3799283154121866,-5.8773424190800645,January,4.497414103667878
197502,02,-2.956349206349207,-6.99048210221395,February,4.034132895864744
197503,03,-0.35842293906810047,-3.8412698412698436,March,3.482846902201743
197504,04,3.3333333333333335,2.4278752436647184,April,0.9054580896686151
197505,05,11.88888888888889,9.522613065326631,May,2.3662758235622583
197506,06,13.666666666666664,14.711897738446416,June,-1.0452310717797513
197507,07,17.706093189964157,16.498881431767344,July,1.207211758196813
197508,08,16.36200716845878,15.022075055187633,August,1.3399321132711481
197509,09,12.87037037037037,9.910919540229894,September,2.959450830140476
197510,10,4.82078853046595,4.947222222222226,October,-0.12643369175627672
197511,11,1.166666666666667,0.3235124205661469,November,0.8431542461005201
197512,12,-1.8637992831541215,-4.1680440771349865,December,2.304244793980865
197601,01,-9.946236559139784,-5.8773424190800645,January,-4.06889414005972
197602,02,-7.10727969348659,-6.99048210221395,February,-0.11679759127263978
197603,03,-4.82078853046595,-3.8412698412698436,March,-0.9795186891961061
