YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
195201,1,-1.400966184,-5.877342419,January,4.476376236
195202,2,-4,-6.990482102,February,2.990482102
195203,3,-10.10683761,-3.841269841,March,-6.265567766
195204,4,4.226190476,2.427875244,April,1.798315233
195205,5,7.037037037,9.522613065,May,-2.485576028
195206,6,13.61111111,14.71189774,June,-1.100786627
195207,7,16.23015873,16.49888143,July,-0.268722702
195208,8,14.15770609,15.02207506,August,-0.864368962
195209,9,8.461538462,9.91091954,September,-1.449381079
195210,10,2.162698413,4.947222222,October,-2.78452381
195211,11,-2.380952381,0.323512421,November,-2.704464802
195212,12,-2.911111111,-4.168044077,December,1.256932966
195301,1,-5.396825397,-5.877342419,January,0.480517022
195302,2,-8.66255144,-6.990482102,February,-1.672069338
195303,3,-0.483091787,-3.841269841,March,3.358178054
195304,4,4.423868313,2.427875244,April,1.995993069
195305,5,9.265232975,9.522613065,May,-0.25738009
195306,6,17.03703704,14.71189774,June,2.325139299
195307,7,17.06666667,16.49888143,July,0.567785235
195308,8,15.11494253,15.02207506,August,0.092867474
195309,9,9.650205761,9.91091954,September,-0.260713779
195310,10,7.222222222,4.947222222,October,2.275
195311,11,1.408730159,0.323512421,November,1.085217738
195312,12,-1.290322581,-4.168044077,December,2.877721496
195401,1,-7.072649573,-5.877342419,January,-1.195307154
195402,2,-11.52777778,-6.990482102,February,-4.537295676
195403,3,-1.26984127,-3.841269841,March,2.571428571
195404,4,1.412037037,2.427875244,April,-1.015838207
195405,5,11.4559387,9.522613065,May,1.933325632
195406,6,13.91025641,14.71189774,June,-0.801641328
195407,7,16.92460317,16.49888143,July,0.425721743
195408,8,15.1532567,15.02207506,August,0.13118165
195409,9,11.3034188,9.91091954,September,1.392499263
195410,10,5.151515152,4.947222222,October,0.204292929
195411,11,0.066666667,0.323512421,November,-0.256845754
195412,12,-0.079365079,-4.168044077,December,4.088678998
195501,1,-5.473251029,-5.877342419,January,0.40409139
195502,2,-8.263888889,-6.990482102,February,-1.273406787
195503,3,-5.740740741,-3.841269841,March,-1.899470899
195504,4,-1.038647343,2.427875244,April,-3.466522587
195505,5,6.091954023,9.522613065,May,-3.430659042
195506,6,12.45726496,14.71189774,June,-2.254632781
195507,7,17.93333333,16.49888143,July,1.434451902
195508,8,17.9218107,15.02207506,August,2.899735644
195509,9,13.0787037,9.91091954,September,3.167784163
195510,10,5.864197531,4.947222222,October,0.916975309
195511,11,-1.134259259,0.323512421,November,-1.45777168
195512,12,-11.09126984,-4.168044077,December,-6.923225764
195601,1,-8.133333333,-5.877342419,January,-2.255990914
195602,2,-14.55026455,-6.990482102,February,-7.559782448
195603,3,-4.38697318,-3.841269841,March,-0.545703339
195604,4,-0.376984127,2.427875244,April,-2.804859371
195605,5,8.648148148,9.522613065,May,-0.874464917
195606,6,15.72463768,14.71189774,June,1.012739943
195607,7,15.41666667,16.49888143,July,-1.082214765
195608,8,12.63888889,15.02207506,August,-2.383186166
195609,9,8.452380952,9.91091954,September,-1.458538588
195610,10,4.462365591,4.947222222,October,-0.484856631
195611,11,-4.565217391,0.323512421,November,-4.888729812
195612,12,-2.45210728,-4.168044077,December,1.715936797
