YM,monthNumber,TAVG_Celsius,avgTempsC,month,Diff
195901,01,,-14.64543937708563,January,
195902,02,,-14.055386178861797,February,
195903,03,,-9.51064093046276,March,
195904,04,,-3.0916347381864555,April,
195905,05,5.259856630824372,3.8651835643082935,May,1.394673066516079
195906,06,11.157407407407407,10.437808641975305,June,0.7195987654321012
195907,07,12.749999999999998,13.529077759846993,July,-0.7790777598469951
195908,08,11.4247311827957,10.999253285543611,August,0.4254778972520885
195909,09,3.796296296296296,5.786566227244194,September,-1.990269930947898
195910,10,-2.0161290322580645,-0.898639207824554,October,-1.1174898244335105
195911,11,-7.101851851851851,-7.547237915882001,November,0.44538606403015013
195912,12,-13.225806451612904,-12.200504222100733,December,-1.025302229512171
196001,01,-19.12186379928315,-14.64543937708563,January,-4.476424422197521
196002,02,-18.429118773946357,-14.055386178861797,February,-4.37373259508456
196003,03,-7.177419354838711,-9.51064093046276,March,2.333221575624049
196004,04,-1.277777777777778,-3.0916347381864555,April,1.8138569604086776
196005,05,7.383512544802867,3.8651835643082935,May,3.518328980494574
196006,06,11.185185185185187,10.437808641975305,June,0.7473765432098816
196007,07,16.962365591397848,13.529077759846993,July,3.433287831550855
196008,08,11.998207885304659,10.999253285543611,August,0.9989545997610474
196009,09,5.888888888888888,5.786566227244194,September,0.10232266164469461
196010,10,-6.505376344086021,-0.898639207824554,October,-5.606737136261467
196011,11,-10.268518518518517,-7.547237915882001,November,-2.721280602636516
196012,12,-11.86379928315412,-12.200504222100733,December,0.33670493894661213
196101,01,-11.18279569892473,-14.64543937708563,January,3.4626436781609
196102,02,-12.688492063492065,-14.055386178861797,February,1.3668941153697318
196103,03,-8.306451612903226,-9.51064093046276,March,1.2041893175595337
196104,04,-6.601851851851851,-3.0916347381864555,April,-3.5102171136653957
196105,05,2.768817204301075,3.8651835643082935,May,-1.0963663600072184
196106,06,13.481481481481483,10.437808641975305,June,3.0436728395061774
196107,07,14.775985663082437,13.529077759846993,July,1.246907903235444
196108,08,10.752688172043007,10.999253285543611,August,-0.24656511350060484
196109,09,6.046296296296297,5.786566227244194,September,0.25973006905210294
196110,10,4.9551971326164885,-0.898639207824554,October,5.853836340441043
196111,11,-4.018518518518518,-7.547237915882001,November,3.528719397363483
196112,12,-14.946236559139788,-12.200504222100733,December,-2.7457323370390547
196201,01,-15.421146953405017,-14.64543937708563,January,-0.7757075763193875
196202,02,-12.748015873015872,-14.055386178861797,February,1.3073703058459252
196203,03,-18.664874551971327,-9.51064093046276,March,-9.154233621508567
196204,04,-1.2037037037037035,-3.0916347381864555,April,1.887931034482752
196205,05,3.0734767025089607,3.8651835643082935,May,-0.7917068617993328
196206,06,8.416666666666666,10.437808641975305,June,-2.0211419753086393
196207,07,10.268817204301074,13.529077759846993,July,-3.260260555545919
196208,08,8.566308243727597,10.999253285543611,August,-2.432945041816014
196209,09,5.148148148148149,5.786566227244194,September,-0.638418079096045
196210,10,-1.505376344086022,-0.898639207824554,October,-0.606737136261468
196211,11,-4.018518518518517,-7.547237915882001,November,3.528719397363484
196212,12,-18.055555555555554,-12.200504222100733,December,-5.855051333454821
196301,01,-18.14516129032258,-14.64543937708563,January,-3.49972191323695
196302,02,-18.134920634920636,-14.055386178861797,February,-4.079534456058839
196303,03,-15.815412186379929,-9.51064093046276,March,-6.304771255917169
196304,04,-2.240740740740742,-3.0916347381864555,April,0.8508939974457137
196305,05,9.650537634408606,3.8651835643082935,May,5.785354070100312
196306,06,8.287037037037035,10.437808641975305,June,-2.150771604938271
196307,07,12.24014336917563,13.529077759846993,July,-1.288934390671363
196308,08,11.362007168458778,10.999253285543611,August,0.3627538829151664
196309,09,7.953703703703705,5.786566227244194,September,2.1671374764595113
196310,10,0.1612903225806452,-0.898639207824554,October,1.0599295304051992
196311,11,-7.314814814814816,-7.547237915882001,November,0.23242310106718556
196312,12,-13.709677419354842,-12.200504222100733,December,-1.5091731972541087
196401,01,-9.668458781362007,-14.64543937708563,January,4.976980595723623
196402,02,-17.29885057471264,-14.055386178861797,February,-3.243464395850845
196403,03,-10.752688172043012,-9.51064093046276,March,-1.2420472415802521
196404,04,-4.351851851851852,-3.0916347381864555,April,-1.2602171136653966
196405,05,4.92831541218638,3.8651835643082935,May,1.0631318478780862
196406,06,9.305555555555554,10.437808641975305,June,-1.1322530864197518
196407,07,13.458781362007173,13.529077759846993,July,-0.07029639783982056
196408,08,10.833333333333332,10.999253285543611,August,-0.16591995221027922
196409,09,4.499999999999999,5.786566227244194,September,-1.2865662272441947
196410,10,2.186379928315412,-0.898639207824554,October,3.085019136139966
196411,11,-9.611111111111112,-7.547237915882001,November,-2.063873195229111
196412,12,-12.697132616487455,-12.200504222100733,December,-0.4966283943867218
196501,01,-13.503584229390677,-14.64543937708563,January,1.1418551476949528
196502,02,-14.04761904761905,-14.055386178861797,February,0.007767131242747638
196503,03,-13.530465949820789,-9.51064093046276,March,-4.019825019358029
196504,04,-3.5740740740740744,-3.0916347381864555,April,-0.4824393358876189
196505,05,0.4569892473118279,3.8651835643082935,May,-3.4081943169964655
196506,06,9.833333333333336,10.437808641975305,June,-0.6044753086419696
196507,07,10.878136200716845,13.529077759846993,July,-2.650941559130148
196508,08,9.775985663082436,10.999253285543611,August,-1.2232676224611758
196509,09,6.25,5.786566227244194,September,0.4634337727558062
196510,10,-1.9534050179211468,-0.898639207824554,October,-1.0547658100965929
196511,11,-12.000000000000004,-7.547237915882001,November,-4.452762084118002
196512,12,-15.994623655913978,-12.200504222100733,December,-3.794119433813245
196601,01,-22.016129032258064,-14.64543937708563,January,-7.370689655172434
196602,02,-24.414682539682538,-14.055386178861797,February,-10.359296360820741
196603,03,-17.598566308243722,-9.51064093046276,March,-8.087925377780962
196604,04,-5.601851851851853,-3.0916347381864555,April,-2.5102171136653975
196605,05,2.876344086021505,3.8651835643082935,May,-0.9888394782867884
196606,06,11.592592592592592,10.437808641975305,June,1.1547839506172863
196607,07,13.24372759856631,13.529077759846993,July,-0.28535016128068413
196608,08,9.318996415770608,10.999253285543611,August,-1.6802568697730038
196609,09,3.0185185185185195,5.786566227244194,September,-2.7680477087256743
196610,10,-4.202508960573477,-0.898639207824554,October,-3.3038697527489225
196611,11,-5.5462962962962985,-7.547237915882001,November,2.000941619585703
196612,12,-11.290322580645162,-12.200504222100733,December,0.910181641455571
196701,01,-22.105734767025083,-14.64543937708563,January,-7.4602953899394535
196702,02,-10.813492063492061,-14.055386178861797,February,3.2418941153697354
196703,03,-5.026881720430108,-9.51064093046276,March,4.483759210032652
196704,04,-2.7129629629629632,-3.0916347381864555,April,0.37867177522349227
196705,05,3.342293906810036,3.8651835643082935,May,-0.5228896574982573
196706,06,9.712962962962962,10.437808641975305,June,-0.7248456790123434
196707,07,13.154121863799286,13.529077759846993,July,-0.37495589604770707
196708,08,13.261648745519713,10.999253285543611,August,2.2623954599761014
196709,09,7.092592592592593,5.786566227244194,September,1.3060263653483988
196710,10,-0.7078853046594984,-0.898639207824554,October,0.19075390316505558
196711,11,-1.611111111111111,-7.547237915882001,November,5.936126804770891
196712,12,-20.125448028673834,-12.200504222100733,December,-7.924943806573101
196801,01,-19.49820788530466,-14.64543937708563,January,-4.852768508219029
196802,02,-17.23180076628352,-14.055386178861797,February,-3.176414587421723
196803,03,-9.722222222222221,-9.51064093046276,March,-0.21158129175946172
196804,04,-4.342592592592593,-3.0916347381864555,April,-1.250957854406137
196805,05,0.19713261648745511,3.8651835643082935,May,-3.6680509478208383
196806,06,10.472222222222225,10.437808641975305,June,0.03441358024691965
196807,07,9.883512544802866,13.529077759846993,July,-3.645565215044128
196808,08,9.399641577060928,10.999253285543611,August,-1.5996117084826835
196809,09,2.5648148148148144,5.786566227244194,September,-3.2217514124293793
196810,10,-7.589605734767024,-0.898639207824554,October,-6.69096652694247
196811,11,-7.333333333333332,-7.547237915882001,November,0.21390458254866918
196812,12,-7.410394265232976,-12.200504222100733,December,4.790109956867757
196901,01,-15.385304659498203,-14.64543937708563,January,-0.7398652824125733
196902,02,-18.253968253968257,-14.055386178861797,February,-4.19858207510646
196903,03,-12.195340501792112,-9.51064093046276,March,-2.684699571329352
196904,04,-4.888888888888888,-3.0916347381864555,April,-1.7972541507024329
196905,05,0.9677419354838709,3.8651835643082935,May,-2.8974416288244225
196906,06,8.796296296296298,10.437808641975305,June,-1.6415123456790077
196907,07,12.74193548387097,13.529077759846993,July,-0.7871422759760236
196908,08,11.048387096774194,10.999253285543611,August,0.04913381123058258
196909,09,4.444444444444445,5.786566227244194,September,-1.3421217827997491
196910,10,-0.2867383512544802,-0.898639207824554,October,0.6119008565700738
196911,11,-7.842592592592592,-7.547237915882001,November,-0.29535467671059035
196912,12,-11.702508960573477,-12.200504222100733,December,0.49799526152725626
197001,01,-15.716845878136203,-14.64543937708563,January,-1.0714065010505731
197002,02,-21.011904761904766,-14.055386178861797,February,-6.956518583042969
197003,03,-7.213261648745518,-9.51064093046276,March,2.297379281717242
197004,04,-6.8240740740740735,-3.0916347381864555,April,-3.732439335887618
197005,05,2.6702508960573472,3.8651835643082935,May,-1.1949326682509462
197006,06,12.731481481481477,10.437808641975305,June,2.293672839506172
197007,07,14.973118279569894,13.529077759846993,July,1.4440405197229005
197008,08,11.182795698924732,10.999253285543611,August,0.18354241338112054
197009,09,5.5,5.786566227244194,September,-0.2865662272441938
197010,10,-0.5913978494623661,-0.898639207824554,October,0.3072413583621879
197011,11,-9.527777777777777,-7.547237915882001,November,-1.9805398618957755
197012,12,-11.729390681003585,-12.200504222100733,December,0.4711135410971483
197101,01,-14.408602150537634,-14.64543937708563,January,0.23683722654799588
197102,02,-17.57936507936508,-14.055386178861797,February,-3.523978900503282
197103,03,-16.370967741935484,-9.51064093046276,March,-6.860326811472724
197104,04,-7.370370370370369,-3.0916347381864555,April,-4.278735632183913
197105,05,1.621863799283154,3.8651835643082935,May,-2.2433197650251397
197106,06,8.685185185185183,10.437808641975305,June,-1.752623456790122
197107,07,12.06989247311828,13.529077759846993,July,-1.4591852867287134
197108,08,10.905017921146955,10.999253285543611,August,-0.09423536439665625
197109,09,4.009259259259258,5.786566227244194,September,-1.777306967984936
197110,10,-2.8225806451612896,-0.898639207824554,October,-1.9239414373367356
197111,11,-13.472222222222221,-7.547237915882001,November,-5.92498430634022
197112,12,-11.433691756272399,-12.200504222100733,December,0.766812465828334
197201,01,-10.967741935483868,-14.64543937708563,January,3.6776974416017616
197202,02,-13.409961685823752,-14.055386178861797,February,0.6454244930380444
197203,03,-7.553763440860213,-9.51064093046276,March,1.9568774896025465
197204,04,-3.0370370370370368,-3.0916347381864555,April,0.054597701149418754
197205,05,2.2491039426523294,3.8651835643082935,May,-1.616079621655964
197206,06,12.472222222222223,10.437808641975305,June,2.034413580246918
197207,07,16.22759856630824,13.529077759846993,July,2.6985208064612483
197208,08,11.702508960573477,10.999253285543611,August,0.7032556750298653
197209,09,4.962962962962963,5.786566227244194,September,-0.823603264281231
197210,10,-1.1021505376344087,-0.898639207824554,October,-0.20351132980985476
197211,11,-9.722222222222225,-7.547237915882001,November,-2.1749843063402237
197212,12,-4.354838709677419,-12.200504222100733,December,7.845665512423314
197506,06,8.268518518518517,10.437808641975305,June,-2.169290123456788
197507,07,11.460573476702509,13.529077759846993,July,-2.0685042831444846
197508,08,9.310035842293905,10.999253285543611,August,-1.6892174432497065
197509,09,6.351851851851852,5.786566227244194,September,0.5652856246076583
197510,10,-0.7078853046594982,-0.898639207824554,October,0.1907539031650558
197511,11,-6.4259259259259265,-7.547237915882001,November,1.1213119899560748
197512,12,-14.059139784946236,-12.200504222100733,December,-1.8586355628455031
197601,01,-19.02329749103943,-14.64543937708563,January,-4.377858113953799
197602,02,-12.279693486590041,-14.055386178861797,February,1.7756926922717557
197603,03,-11.388888888888891,-9.51064093046276,March,-1.8782479584261313
197604,04,-3.157407407407406,-3.0916347381864555,April,-0.0657726692209506
197605,05,5.035842293906809,3.8651835643082935,May,1.1706587295985154
197606,06,8.083333333333334,10.437808641975305,June,-2.3544753086419714
